type,test_idx,train_idx,similarity
related,22,82,0.029335
related,22,108,0.138035
related,22,109,0.030013
related,22,111,0.175496
related,22,116,0.148844
related,22,122,-0.004869
related,22,124,0.124243
related,22,177,0.125783
related,22,183,0.146870
related,23,183,0.126701
related,24,29,0.075282
related,24,40,0.071473
related,24,90,-0.002776
related,24,110,0.082498
related,24,125,0.028523
related,24,127,-0.020387
related,24,133,0.103352
related,24,141,0.139675
related,24,149,0.116735
related,24,157,0.118995
related,24,161,0.117548
related,24,166,0.078875
related,24,172,0.112088
related,24,191,0.027199
related,24,219,0.063242
related,25,4,0.051574
related,25,23,0.130181
related,25,36,0.164459
related,25,47,0.133214
related,25,79,0.115884
related,25,80,0.124217
related,25,194,0.117601
related,25,235,0.131851
related,26,58,0.138005
related,27,84,-0.026804
related,27,113,-0.067132
related,27,114,0.170157
related,28,47,0.115600
related,28,80,0.110145
related,28,178,0.094739
related,28,182,0.140416
related,28,194,0.063752
related,28,213,-0.036100
related,28,214,-0.023716
related,28,228,0.084704
related,29,8,0.006026
related,29,75,0.036609
related,29,76,0.017179
related,29,80,0.162970
related,29,107,0.028540
related,29,116,0.003156
related,29,225,-0.017033
related,29,228,0.112666
related,29,234,0.016248
related,30,76,0.151323
related,30,106,0.164320
related,31,79,0.145375
related,31,112,0.203089
related,32,19,-0.019395
related,32,28,-0.001673
related,32,67,0.016719
related,32,76,0.151861
related,32,78,0.438755
related,32,84,0.109376
related,32,108,0.152453
related,32,110,0.143753
related,32,111,0.167894
related,32,122,0.008473
related,32,124,0.158185
related,32,126,0.038488
related,33,11,0.058655
related,33,26,0.136250
related,33,29,0.063753
related,33,31,-0.018263
related,33,34,0.017759
related,33,36,0.108925
related,33,40,0.319895
related,33,83,0.140051
related,33,87,0.040597
related,33,90,0.098640
related,33,110,0.309782
related,33,111,0.131912
related,33,125,0.000998
related,33,127,0.064276
related,33,133,0.311367
related,33,141,0.108260
related,33,149,0.288049
related,33,157,0.072645
related,33,161,0.324110
related,33,166,0.286373
related,33,167,-0.018453
related,33,172,0.340509
related,33,180,0.099334
related,33,186,0.040871
related,33,191,0.128263
related,33,219,0.343505
related,34,151,-0.047413
related,35,21,0.136082
related,36,84,0.149581
related,36,113,0.179297
related,36,131,0.183029
related,36,137,0.021902
related,36,140,0.147363
related,36,141,0.157125
related,36,147,0.157264
related,36,152,0.092482
related,36,179,0.100002
related,36,183,0.196405
related,36,184,0.132727
related,36,194,0.119885
related,36,229,0.113966
related,37,38,0.011266
related,37,114,0.069457
related,37,159,0.142539
related,37,160,0.185210
related,38,0,0.144393
related,38,1,0.122549
related,38,8,-0.043748
related,38,10,0.199869
related,38,14,0.147786
related,38,28,0.136979
related,38,32,0.183539
related,38,41,0.142443
related,38,55,0.118265
related,38,75,0.132609
related,38,107,0.135672
related,38,182,0.119941
related,38,225,0.086996
related,38,227,0.107108
related,38,234,0.166582
related,39,2,0.096368
related,39,3,0.154144
related,39,9,0.137003
related,39,22,0.133217
related,39,29,0.111999
related,39,37,0.123835
related,39,39,0.164682
related,39,42,0.114760
related,39,75,0.082437
related,39,80,0.117358
related,39,82,0.260625
related,39,84,-0.002639
related,39,105,0.136971
related,39,107,0.059433
related,39,110,0.140621
related,39,113,0.079481
related,39,118,0.019109
related,39,177,0.132417
related,39,180,0.141693
related,39,183,0.123333
related,39,200,0.003684
related,40,44,0.100586
related,40,72,-0.075673
related,40,76,-0.031438
related,40,80,0.158453
related,40,114,0.149861
related,40,116,0.028429
related,40,165,0.038083
related,40,207,0.123054
related,40,211,0.067965
related,40,221,-0.022183
related,40,228,0.119683
related,40,244,0.005404
related,40,249,0.090461
related,41,51,0.074586
related,41,56,0.047391
related,41,76,0.081416
related,41,80,-0.024557
related,41,116,0.024973
related,41,199,0.034457
related,41,209,0.187855
related,41,211,0.139365
related,41,212,0.120393
related,41,228,-0.037752
related,41,232,0.072200
related,41,236,0.108970
related,41,247,-0.020579
related,41,248,-0.010713
related,42,77,0.080261
related,42,84,0.094955
related,42,109,0.119240
related,42,112,0.177405
related,42,126,0.107327
related,42,129,0.173601
related,42,149,0.169784
related,43,231,0.131032
related,46,47,-0.035850
related,46,78,-0.004713
related,46,80,0.116295
related,46,86,0.020077
related,46,113,0.018300
related,46,194,0.132091
related,47,114,0.125665
related,48,84,0.129881
related,48,113,0.165436
related,48,175,0.161512
related,48,193,-0.029541
related,48,209,-0.010375
related,49,6,0.041546
related,49,38,0.151183
related,49,39,-0.040362
related,49,47,-0.010722
related,49,80,0.014499
related,49,97,0.016690
related,49,102,-0.009224
related,49,194,-0.002614
related,50,8,0.034478
related,50,34,0.120008
related,50,40,0.138822
related,50,75,-0.009636
related,50,76,0.091952
related,50,106,0.091811
related,50,107,-0.007116
related,50,225,0.035586
related,50,234,-0.002445
related,51,57,0.164991
related,51,79,0.121735
related,51,112,0.181094
related,51,143,0.097102
related,51,144,0.140098
related,51,146,0.134453
related,52,28,0.013629
related,52,78,0.103664
related,52,110,0.065981
related,52,124,-0.024414
related,52,131,0.124147
related,52,140,0.076943
related,52,141,0.058225
related,52,147,0.081990
related,52,152,0.071550
related,52,157,-0.016723
related,52,179,0.154754
related,52,184,0.155887
related,52,194,0.091376
related,52,206,0.118296
related,52,229,0.100265
related,53,29,0.051529
related,53,34,0.144661
related,53,40,0.321354
related,53,83,0.100582
related,53,87,0.003153
related,53,90,0.105634
related,53,110,0.291702
related,53,111,0.111457
related,53,125,-0.045904
related,53,127,0.118957
related,53,130,0.050677
related,53,133,0.309367
related,53,141,0.080704
related,53,149,0.289382
related,53,154,-0.033124
related,53,155,-0.060553
related,53,157,0.091219
related,53,161,0.260988
related,53,166,0.259038
related,53,172,0.309471
related,53,186,0.039545
related,53,191,0.087508
related,53,219,0.292013
related,54,156,0.111924
related,55,157,0.147902
related,55,179,0.196322
related,55,206,0.180120
related,56,2,0.109932
related,56,3,0.140486
related,56,9,0.100098
related,56,22,0.141487
related,56,29,0.114259
related,56,37,0.125393
